20210915 180629;25250
20210915 180640;26062
20210915 180651;27812
20210915 180702;28437
20210915 180713;28750
20210915 180724;28937
20210915 180735;29062
20210915 180746;29187
20210915 180757;29250
20210915 180808;29312
20210915 180819;29062
20210915 180830;28687
20210915 180841;28250
20210915 180852;28000
20210915 180902;27625
20210915 180913;27250
20210915 180924;26937
20210915 180935;26625
20210915 180946;26312
20210915 180957;26000
20210915 181008;25750
20210915 181019;25500
20210915 181030;25250
20210915 181041;25062
20210915 181052;24812
20210915 181103;24625
20210915 181114;26875
20210915 181125;28312
20210915 181136;28812
20210915 181147;29125
20210915 181158;29375
20210915 181209;29375
20210915 181220;29687
20210915 181231;29062
20210915 181242;28500
20210915 181253;27937
20210915 181304;27250
20210915 181314;26562
20210915 181325;26000
20210915 181336;25500
20210915 181347;25187
20210915 181358;25187
20210915 181409;24562
20210915 181420;24000
20210915 181431;23562
20210915 181442;23187
20210915 181453;22875
20210915 181504;22625
20210915 181515;22375
20210915 181526;22250
20210915 181537;22062
20210915 181548;21875
20210915 181559;21812
20210915 181610;21750
20210915 181621;21687
20210915 181632;21687
20210915 181643;21625
20210915 181654;21562
20210915 181705;21562
20210915 181716;21500
